candidate,family,params,profile,split,total_return,cagr,ann_vol,sharpe,max_drawdown,profit_factor,avg_month,median_month,best_month,worst_month,positive_month_pct,month_ge_10_pct,months,selected_on_train_score
donchian_72,donchian,[72],base,test,-0.17024235565753554,-0.11135152245263225,0.35616563157700687,-0.15359015161595704,-0.3759454620367447,0.9947620533158205,-0.007147903308585712,-0.02291073878233696,0.1321384874156757,-0.10864942980435854,0.42105263157894735,0.10526315789473684,19,2.0362798624015848
ema_48-168,ema,"[48, 168]",base,test,-0.12584817306103668,-0.08156402573019939,0.3560239815394559,-0.06099323646881624,-0.3062058806808885,0.9979197915681813,-0.0013939475505869072,-0.0009126640484449222,0.21379501377917043,-0.19883830723291862,0.47368421052631576,0.15789473684210525,19,2.1936564841711386
flowtrend_24-168,flowtrend,"[24, 168]",base,test,-0.7065462003458819,-0.5395578741634284,0.35265405549561213,-2.0236326666350695,-0.7085306723369257,0.9097165653022847,-0.05691675562275812,-0.0743273868254577,0.08079775251961707,-0.2369201337865544,0.3684210526315789,0.0,19,-1000000000.0
tsmom_720,tsmom,[720],base,test,-0.175230483388083,-0.11473461620219316,0.37681338263697145,-0.13500561558483135,-0.3315697905842936,0.995231295455653,-0.0036920115049965106,-0.011009643990033346,0.15562194833568044,-0.15809402361735847,0.47368421052631576,0.2631578947368421,19,1.110607478631982
xsmom_336-24,xsmom,"[336, 24]",base,test,-0.19313406899829177,-0.12693978223956015,0.34106678475992225,-0.22757607992637865,-0.4569833234729376,0.9928880194857242,-0.008109372497013689,0.0006170726329390863,0.1959719211764288,-0.14408961906271978,0.5263157894736842,0.10526315789473684,19,1.4983542799802005
donchian_72,donchian,[72],aggressive,test,-0.43626441957443696,-0.304119402362253,0.7123312631540137,-0.15359015161595704,-0.6306509441105632,0.9947620533158205,-0.019583176200062797,-0.05524903437552242,0.264864537234512,-0.21077574327764004,0.3684210526315789,0.21052631578947367,19,1.9704588842822786
ema_48-168,ema,"[48, 168]",aggressive,test,-0.3744677523143818,-0.2567906507141555,0.7119435839136673,-0.060869816875407184,-0.5330093047776434,0.9979237224529549,-0.002502417746979989,-0.012385406226566587,0.45228832052046863,-0.3662528891498458,0.47368421052631576,0.2631578947368421,19,2.12296273979069
flowtrend_24-168,flowtrend,"[24, 168]",aggressive,test,-0.897027457685045,-0.7626085721017257,0.6304898952224999,-1.9679146061849562,-0.8983566296587444,0.9111957354097163,-0.0977031925528914,-0.15387789231319404,0.14025710565202965,-0.4225991492735962,0.3684210526315789,0.21052631578947367,19,-1000000000.0
tsmom_72,tsmom,[72],aggressive,test,-0.8927102605020146,-0.7563601917915799,0.7147952501732519,-1.6187848462516203,-0.9119262016889598,0.9457785859780834,-0.09441525553796065,-0.1309664499882709,0.24324242172055444,-0.3740782990371625,0.3684210526315789,0.10526315789473684,19,-1000000000.0
xsmom_72-8,xsmom,"[72, 8]",aggressive,test,-0.9463501685840011,-0.8428380517807292,0.6476733422271983,-2.5335920040517403,-0.9735045685690051,0.9223883506418922,-0.12165614271278206,-0.10412100581622885,0.1656684413953009,-0.45160966611167475,0.2631578947368421,0.15789473684210525,19,0.9927821792611428
