family,symbol,side,lookback,hold,threshold,aux,stop,target,key,train_trades,train_cagr,train_total_return,train_avg_trade,train_win_rate,train_profit_factor,train_max_drawdown,train_bootstrap_mean_5pct,train_positive_year_pct,val_trades,val_cagr,val_total_return,val_avg_trade,val_win_rate,val_profit_factor,val_max_drawdown,val_bootstrap_mean_5pct,val_positive_year_pct,test_trades,test_cagr,test_total_return,test_avg_trade,test_win_rate,test_profit_factor,test_max_drawdown,test_bootstrap_mean_5pct,test_positive_year_pct,stress_trades,stress_cagr,stress_total_return,stress_avg_trade,stress_win_rate,stress_profit_factor,stress_max_drawdown,stress_bootstrap_mean_5pct,stress_positive_year_pct,batch,basic_gate,strict_gate_pre_external,rank_score
trend,SOLUSDT,short,6,2,0.02,1.5,0.0,0.045,d68b98365c7b,198,-0.25775914169310243,-0.3600774484607593,-0.0019014611337548153,0.3383838383838384,0.826161377706007,-0.4408098563345788,-0.0049912463658607804,0.5,203,1.1022379050193991,1.1011690185889154,0.004113677789608071,0.5073891625615764,1.4161628560224417,-0.2189197295606614,0.0007214105705793495,1.0,222,0.7957269304806724,0.8864465370521286,0.003169222039228974,0.4954954954954955,1.3921284824350721,-0.2409833401388779,0.000510161262049477,1.0,222,0.2948130158974944,0.3232857715707511,0.0015692220392289748,0.4594594594594595,1.1757382454115761,-0.3396798072378965,-0.0012287526701953337,1.0,0,False,False,2.3153139291409093
funding_trend,SOLUSDT,long,48,6,0.03,0.5,0.0,0.0,8dbca0c3898e,131,0.5893943584084835,1.0015452821188626,0.006997135743360734,0.46564885496183206,1.3938967957686503,-0.29782519976814037,-0.001200751754898813,1.0,85,0.6922804328396526,0.6916711578710177,0.007008196518477467,0.5294117647058824,1.6204594981706102,-0.13598608155405723,-4.729812053678111e-05,1.0,68,-0.016426226055759607,-0.01779675521739088,0.00017359826569614324,0.5,1.0146116169340993,-0.22038935999412224,-0.005839372558407359,0.5,68,-0.11047295854448003,-0.11919672390368974,-0.001426401734303856,0.4852941176470588,0.8877073680663166,-0.2524881491317926,-0.0071772573836854075,0.5,0,True,False,2.2202526188239613
funding_trend,SOLUSDT,long,48,2,0.003,2.0,0.035,0.045,0188179cdb7c,62,-0.2318855840368388,-0.3263825118924836,-0.005790633587478856,0.4032258064516129,0.6887480334316649,-0.34121299006909855,-0.012640177216890454,0.0,33,0.16620009941425562,0.16607737324718608,0.005038526322433895,0.5151515151515151,1.5909162956283955,-0.1081316369631774,-0.0030628097329016227,0.5,14,-0.003043547458516538,-0.0032993571609073458,-2.820585867250429e-05,0.42857142857142855,0.9960465558362497,-0.05144671409995594,,0.5,14,-0.0234550405999151,-0.025404404960227334,-0.0016282058586725033,0.2857142857142857,0.8021527342709182,-0.05456093690402475,,0.5,0,False,False,1.9230279842945857
funding_trend,SOLUSDT,both,48,2,0.015,0.35,0.0,0.018,e19bd1539f27,632,0.22584835297191197,0.3565732786783198,0.0007181183008516669,0.6107594936708861,1.0845671239575643,-0.31171283467944244,-0.0007272984037463403,0.5,400,0.8037083575115218,0.8029802655233131,0.0016746568244973977,0.605,1.2227919908297067,-0.25619022874879716,-7.09764514138548e-05,1.0,338,-0.12757251467504915,-0.13753911291538357,-0.00026575158178506603,0.5325443786982249,0.9659248081914183,-0.37831627602196416,-0.0019307141975179521,0.5,338,-0.47058745963447035,-0.49818831553197906,-0.0018657515817850664,0.5088757396449705,0.7822112807230047,-0.5639665749359253,-0.003553099397045553,0.0,0,True,False,1.8661273716333222
regime_switch,BTCUSDT,long,30,6,0.05,0.15,0.025,0.03,28de8e906cfc,118,0.13777070497574528,0.21324310987103012,0.001903008487924609,0.5338983050847458,1.2038126083045253,-0.16707372096310336,-0.0016495527662288292,1.0,55,0.14626313853960737,0.14615603853076475,0.002719245693747741,0.5818181818181818,1.3275093348853273,-0.09161381182520756,-0.002130653344839437,0.5,30,-0.1373645766718139,-0.1480292998648831,-0.005125825753378956,0.4,0.5494801799490401,-0.1787498567779371,-0.01113396172246603,0.0,30,-0.1749552900654444,-0.18820603771595046,-0.006725825753378955,0.36666666666666664,0.45662575990936793,-0.21375544879417607,-0.012565919475222218,0.0,0,True,False,1.5380109491423908
funding_trend,SOLUSDT,long,12,1,0.03,1.0,0.0,0.045,f4443089f889,195,-0.007278535932036423,-0.010880603294145086,0.00030273436639532286,0.4461538461538462,1.031144562034547,-0.25097961603385777,-0.0027674422547147195,0.5,135,0.17352327259222777,0.1733947479274065,0.0013448131212453881,0.4444444444444444,1.2224832065156155,-0.18961559511863457,-0.0011656163718428883,0.5,101,-0.15929833981057762,-0.17149031138995185,-0.0017219383456990136,0.38613861386138615,0.7554239927304459,-0.2469210888079416,-0.0043733335136578655,0.0,101,-0.2760177331605219,-0.2954390317333745,-0.0033219383456990124,0.3564356435643564,0.5875436859996566,-0.3335235805624527,-0.006048517373034339,0.0,0,True,False,1.4981008409943408
trend,SOLUSDT,short,6,3,0.01,0.15,0.0,0.06,2a43bfab857c,219,-0.5013988824009974,-0.6473418302806095,-0.004200455956924425,0.410958904109589,0.7061641981933863,-0.7138201871419342,-0.007917657071337998,0.0,195,0.12344452758995494,0.12335502098161366,0.001356488694300646,0.49230769230769234,1.1008272155831393,-0.3954239363153418,-0.0034020070292925006,0.5,234,0.5676580706393981,0.6281309589594437,0.002524304604877681,0.5,1.2553105040704189,-0.36308482666529573,-0.0005464652728593238,1.0,234,0.11020759800514246,0.12002243891081465,0.0009243046048776811,0.47863247863247865,1.0863999074565822,-0.4342680413979424,-0.002365379149262483,1.0,0,False,False,1.4763771053957215
funding_trend,BTCUSDT,long,3,3,0.003,0.5,0.0,0.03,352b6d625a0d,223,-0.07990280564970154,-0.11725106670387797,-0.00041789562835397605,0.3721973094170404,0.9375984314051086,-0.2480499440434606,-0.002331054905632343,0.0,118,0.13265787464227108,0.13256130224055207,0.0011927213679976793,0.4576271186440678,1.2126936378404667,-0.11246187116939099,-0.00137838163951985,1.0,96,-0.24246517178407234,-0.25996945628766743,-0.003037402802184187,0.3541666666666667,0.543563928255098,-0.28175247123345915,-0.005434063547289534,0.0,96,-0.3429078923326242,-0.3657325721405118,-0.004637402802184187,0.2916666666666667,0.39895165038617014,-0.3764950869995666,-0.0069136571405641264,0.0,0,False,False,1.4149135572253768
regime_switch,BTCUSDT,both,18,6,0.015,0.15,0.0,0.03,a57fb0fb144e,259,-0.23656858155589033,-0.3325236449673207,-0.001273246500834635,0.4594594594594595,0.8680116831228454,-0.47200592751230386,-0.003711783175906139,0.5,204,0.14555418998058678,0.14544764128766596,0.001021298916432024,0.5637254901960784,1.1016389584150794,-0.357882759879227,-0.002055281683296316,0.5,196,-0.21493602119187216,-0.23076820827138278,-0.0010865462590822713,0.47959183673469385,0.8870436143701512,-0.371193131053867,-0.0039028889804489596,0.0,196,-0.4125311500727923,-0.4382592417638099,-0.002686546259082272,0.44387755102040816,0.7436704408912118,-0.5121487124842432,-0.005265545164979442,0.0,0,False,False,1.3961769569979108
trend,SOLUSDT,long,12,3,0.02,0.5,0.0,0.018,b42c24912a9e,492,0.19837806990553908,0.31130131258212423,0.0008737536093157412,0.6686991869918699,1.0895313532579445,-0.4382674332292529,-0.0009796013414740737,0.5,228,0.13663593405020102,0.1365362949725335,0.0008012690185512034,0.6052631578947368,1.093913502800399,-0.3104796944948177,-0.0016657097164937949,0.5,169,-0.20011946472948217,-0.21501578680850175,-0.0012321776314556342,0.5384615384615384,0.8647344547021623,-0.3390713033584969,-0.0038157766026811813,0.0,169,-0.3770595860089473,-0.4013938301578469,-0.0028321776314556347,0.5207100591715976,0.712916670585258,-0.44531346812290606,-0.005300708711253949,0.0,0,True,False,1.3784150835010403
funding_trend,BTCUSDT,both,6,9,0.03,0.75,0.0,0.045,54886c3b8fad,59,0.010219306101093784,0.015343323862188951,0.0007317628239106315,0.423728813559322,1.0599015863618901,-0.17380103979701433,-0.005614329443284913,1.0,38,-0.03413618985868849,-0.03411322698614272,-0.0003019353325950558,0.5,0.9801114721879922,-0.2682348326803561,-0.009804137919385312,0.5,31,0.10807471082749287,0.11768973178061448,0.00412955586380069,0.5483870967741935,1.376517537016314,-0.14681233905968383,-0.005486046895557689,1.0,31,0.05863298323174293,0.06372339305752428,0.0025295558638006904,0.5161290322580645,1.2163509966122448,-0.15654590479866803,-0.007335908314615159,0.5,0,False,False,1.3071727615127264
trend,SOLUSDT,both,3,12,0.05,1.5,0.0,0.0,7adf10128238,89,2.587523318152962,5.774277830998199,0.025206762628479668,0.6067415730337079,2.3185166066999536,-0.47262735127853417,0.01038395172601874,1.0,61,-0.06340134252889651,-0.06335934949888045,0.0013775876095428773,0.5081967213114754,1.0519436960047592,-0.3132649506257126,-0.013241383791098635,0.0,42,0.052848906915563765,0.057423659387656034,0.002980465364633203,0.5238095238095238,1.1476322799052177,-0.3682705220693221,-0.011160712999222736,0.5,42,-0.010495044921439156,-0.011373567935054507,0.0013804653646332036,0.5238095238095238,1.0658922517616667,-0.38175952659015,-0.013076081974051865,0.5,0,True,False,1.3071510947166154
trend,SOLUSDT,long,18,12,0.003,0.35,0.0,0.0,c9dae4f5b3a3,137,1.453519658744805,2.8348688274236755,0.012607288854642287,0.5474452554744526,1.5869240017910107,-0.4298664860342323,0.0020693570502044816,0.5,76,0.021529385248660216,0.021514491103766797,0.0019568737667581652,0.47368421052631576,1.091161165810901,-0.4159970077138292,-0.009375112392515194,0.5,72,-0.39872512860972964,-0.4239323837655474,-0.006635428162509148,0.4027777777777778,0.6966577701446124,-0.5691034202837169,-0.015088868766126393,0.5,72,-0.45988272817868125,-0.48717813334636817,-0.008235428162509148,0.4027777777777778,0.6392708928957186,-0.6002753297594792,-0.01702650324043847,0.0,0,True,False,1.2760903009713842
funding_trend,BTCUSDT,both,30,9,0.03,2.0,0.025,0.03,19efde9b3054,41,-0.05939792247590381,-0.08762660940864131,-0.0019812932612309465,0.4146341463414634,0.8172716307336776,-0.15491034891008482,-0.007695414163906522,0.5,19,-0.02272830758234401,-0.022712928213950545,-0.0009977473756559929,0.47368421052631576,0.8904857440529494,-0.08897739325987364,,0.5,23,0.09815350656601018,0.10684403661059494,0.0046878901026514794,0.6086956521739131,1.5624801668156634,-0.0824583228526019,-0.0034540719445627383,1.0,23,0.061625548546779596,0.06698388781672171,0.0030878901026514787,0.6086956521739131,1.344614912395,-0.08844386829635542,-0.00447668702256516,1.0,0,False,False,1.2697416319656933
trend,BTCUSDT,long,12,6,0.02,2.0,0.035,0.018,0be7e5b584f1,234,-0.00759195725837869,-0.01134824455783734,0.00013908759431304933,0.5641025641025641,1.0166695238979544,-0.2527048124248731,-0.0019382487527487837,0.5,146,0.0292905420997831,0.029270202288579128,0.00038048280376147526,0.589041095890411,1.0478870619282328,-0.21823621031727036,-0.0022645938363261863,0.5,77,-0.15622047010333673,-0.16820120655654192,-0.002257570070950909,0.44155844155844154,0.7108893318601,-0.21370585580615786,-0.005311614587633934,0.0,77,-0.2471400461150094,-0.26491949829370076,-0.0038575700709509103,0.4155844155844156,0.5580696586319009,-0.29736321319645354,-0.006903569484758894,0.0,0,False,False,1.2402546659431493
regime_switch,BTCUSDT,long,12,6,0.003,0.75,0.0,0.0,e43df26830c1,268,-0.12290939958984148,-0.17831921559993158,-0.00043917182473022956,0.48134328358208955,0.9462939970371312,-0.29003312377875057,-0.0029004111726692932,0.0,176,-0.02600863027117173,-0.025991060897676443,0.00022391996486037088,0.5170454545454546,1.0221573026083757,-0.28534429508940007,-0.0031888592375288044,0.5,169,-0.21077569061846646,-0.22634760363005135,-0.0013224059839832328,0.46153846153846156,0.8398788238212118,-0.32586767576082853,-0.00384450155971927,0.0,169,-0.3853706863221493,-0.41004775622133227,-0.0029224059839832333,0.41420118343195267,0.6812319106878945,-0.4564207122474284,-0.0054368499137314435,0.0,0,False,False,1.2191226934280928
regime_switch,SOLUSDT,both,48,12,0.006,0.5,0.0,0.018,93bcc0fa9425,586,-0.34194408056231507,-0.46564536713328186,-0.00017225055427570968,0.7918088737201365,0.9868392505258705,-0.6142522068656646,-0.002884693297372556,0.0,373,-0.13996315656259029,-0.13987438921578466,0.00025005057355619584,0.7801608579088471,1.0199958363678723,-0.5904589308733714,-0.002657103897662755,0.5,381,-0.22211294341058485,-0.23838948508459157,-0.00016477528033635662,0.7375328083989501,0.9864191869945796,-0.4522714912690904,-0.0029565782649520127,0.0,381,-0.5571912371997919,-0.5865418612375009,-0.001764775280336357,0.7375328083989501,0.8594128771176135,-0.6428230556659659,-0.004535776646107308,0.0,0,False,False,1.196619054835222
funding_trend,SOLUSDT,short,48,9,0.03,0.75,0.0,0.018,40aaaf0a63e9,103,-0.07072365776355038,-0.10402965587731827,-0.0005195809316656888,0.7378640776699029,0.9588781753877476,-0.325601919308398,-0.006033604150546999,0.0,92,-0.07069585675165524,-0.07064921698014082,2.4490743816687867e-05,0.7934782608695652,1.0019024887838441,-0.33493299616437144,-0.006938207383133293,0.5,100,-0.21541834484740308,-0.23128057916546074,-0.0020075020321375188,0.74,0.8522093872050811,-0.3543033378882142,-0.008028089509360958,0.0,100,-0.323474116055099,-0.345369474603322,-0.0036075020321375178,0.72,0.7425539652139402,-0.4305716102232354,-0.009361330143034953,0.0,0,False,False,1.179606907209287
trend,SOLUSDT,short,3,3,0.015,0.15,0.018,0.03,7f431caf338b,238,-0.33351732397852407,-0.45536513648268295,-0.002333495463279429,0.38235294117647056,0.788167693645531,-0.5655562931436275,-0.0045445699156004046,0.0,247,-0.08154274060429378,-0.08148926368320741,-9.791853284556741e-05,0.41700404858299595,0.9907933822124964,-0.318161610395865,-0.0025050549028351634,0.5,249,-0.227518169463379,-0.24412546836918292,-0.0009054473614207425,0.40562248995983935,0.9107100797183909,-0.31782373901935,-0.0031377740188764684,0.0,249,-0.4654866981405358,-0.49294432261879495,-0.0025054473614207428,0.3815261044176707,0.7743581977139244,-0.5061682239915165,-0.004704815890007532,0.0,0,False,False,1.1776995318399472
trend,BTCUSDT,both,30,12,0.01,1.5,0.025,0.06,705a3a88680f,278,0.23460176926230902,0.3711061410156249,0.0015933626583460665,0.44244604316546765,1.1337889371487386,-0.31495014799680077,-0.0013776442580544918,1.0,194,-0.17238517958534794,-0.17227798707325315,-0.00048383670174729967,0.39690721649484534,0.9652558513451971,-0.38366984442836616,-0.004252199362594598,0.0,180,0.06105224173155177,0.06635919188336081,0.0007454814893483103,0.43333333333333335,1.0668901592232982,-0.2931690818576701,-0.0024616276667203487,1.0,180,-0.18665100333545925,-0.2006752676314042,-0.0008545185106516898,0.4166666666666667,0.9292082218133032,-0.3389302690479894,-0.0042348496901965255,0.0,0,False,False,1.1457858013583477
funding_trend,SOLUSDT,short,48,2,0.003,2.0,0.018,0.045,cb20cddb93e9,41,0.02408435486287397,0.03628410375481517,0.0011684340749537562,0.3902439024390244,1.1216386799879772,-0.15298650053972773,-0.0048283239089321394,0.5,24,-0.055339086672254734,-0.05530227465077919,-0.0020861939422588092,0.375,0.8213332756184554,-0.10337065421069613,-0.009703922415336347,0.0,62,0.07596161687446679,0.08261418731033943,0.0016071373920130932,0.4032258064516129,1.156292585279375,-0.1467344272425608,-0.0035836180522075033,1.0,62,-0.018101848396202658,-0.019610784750992427,7.137392013094055e-06,0.3548387096774194,1.0006325863296008,-0.1584538868064027,-0.005030636552229834,0.0,0,False,False,1.0827368786021718
funding_trend,SOLUSDT,short,48,3,0.006,1.5,0.025,0.03,b00743a09c5b,58,0.028955584857993655,0.04367491472685514,0.0010208244142098128,0.5172413793103449,1.0993873365725046,-0.1734175216318301,-0.004117607014046466,1.0,44,-0.08379294497003342,-0.08373806061169964,-0.0016777918464528354,0.4772727272727273,0.8649450595010029,-0.18613108503878695,-0.007494208015355976,0.5,93,-0.023153332501992918,-0.025077945119402756,-1.4405239101341272e-05,0.4838709677419355,0.9986058577675793,-0.23296070772296118,-0.0038615755229368227,0.5,93,-0.14858369797643922,-0.16003596468975856,-0.0016144052391013424,0.43010752688172044,0.8557616318475579,-0.2843136101367675,-0.0056132198272615275,0.5,0,False,False,1.072700051457881
funding_trend,SOLUSDT,short,18,3,0.006,0.25,0.0,0.06,da8a3e8e9d63,202,0.11590395748875504,0.17849061798649046,0.001255271765397545,0.44554455445544555,1.1207538244145774,-0.40152828877399016,-0.0022303670252706484,0.5,151,-0.1935820158179965,-0.1934632450288557,-0.0006971537030256079,0.45695364238410596,0.9521095315158423,-0.45980078286112136,-0.005615311079510066,0.5,151,-0.28732503566931056,-0.30736153973233715,-0.0019725729260045223,0.4105960264900662,0.8340962846820417,-0.4384334654430173,-0.00588813483971415,0.0,151,-0.43015696411159376,-0.4565087547384038,-0.0035725729260045217,0.39072847682119205,0.7218991160731978,-0.5262890742892635,-0.007655345636005873,0.0,0,False,False,1.0638425947773547
funding_trend,BTCUSDT,long,48,9,0.01,0.5,0.012,0.03,3bb650acc65b,249,-0.20638241288000392,-0.2926124342843087,-0.0012267478585070368,0.3293172690763052,0.8630533248845504,-0.40171338084874664,-0.0031221771257539466,0.0,144,-0.13792009535512784,-0.13783251740402713,-0.0008718340501229498,0.3472222222222222,0.8978355018196912,-0.19582748356410207,-0.0033553226850894695,0.0,79,-0.04610828044000115,-0.04989166237926135,-0.0005291459870318026,0.4177215189873418,0.9243438467172689,-0.13184453572773402,-0.0033873194524774715,0.5,79,-0.1512348709250141,-0.162871302145709,-0.002129145987031803,0.379746835443038,0.7324581044347883,-0.21869911974480605,-0.004908742185577005,0.0,0,False,False,1.0599614158214445
funding_trend,SOLUSDT,short,12,3,0.015,1.0,0.012,0.045,57f43ba11213,56,0.07906564845023945,0.12070840655271908,0.0023134656068218304,0.30357142857142855,1.267574098974414,-0.20758780991248638,-0.002810209175589346,1.0,76,-0.12302595178165665,-0.12294714425557907,-0.001515407143845761,0.2894736842105263,0.8405493702403628,-0.23532765490758223,-0.0053026525379601275,0.0,102,0.05564658606136752,0.06047039215245942,0.0008072799451501333,0.3333333333333333,1.096875731155082,-0.18133680984364464,-0.0027508924742528653,0.5,102,-0.0919373652686789,-0.09928038160990327,-0.0007927200548498678,0.30392156862745096,0.9159745563056543,-0.24336702608574423,-0.004135573593552302,0.5,0,False,False,1.053255327138305
trend,SOLUSDT,long,3,9,0.015,0.25,0.012,0.0,e7a8f2d9be2f,303,0.22021065270066154,0.3472405642373353,0.001818349785511124,0.1782178217821782,1.1612412418238738,-0.4551772958916638,-0.0019684261287536745,0.5,140,-0.19478647565537877,-0.19466705830964326,-0.001067971139015043,0.19285714285714287,0.9026791163949106,-0.33826985915786556,-0.005340610501909319,0.0,104,-0.07850554423315859,-0.08482655703677033,-0.00042873973700331957,0.22115384615384615,0.9595871119472559,-0.3323756932510755,-0.004859892277454239,0.5,104,-0.20986670386455109,-0.2253814883028401,-0.0020287397370033202,0.20192307692307693,0.8291754367217421,-0.38808474083849487,-0.006669065348942774,0.5,0,False,False,1.0451826565540352
