name,signal,side,tp,sl,hold,split,trades,total_return,avg_trade,win_rate,avg_win,median_win,avg_loss,profit_factor,max_drawdown,target_hit_rate,winner_ge_2_pct,bootstrap_mean_5pct,positive_year_pct,stress_trades,stress_total_return,stress_avg_trade,stress_win_rate,stress_avg_win,stress_median_win,stress_avg_loss,stress_profit_factor,stress_max_drawdown,stress_target_hit_rate,stress_winner_ge_2_pct,stress_bootstrap_mean_5pct,stress_positive_year_pct
breakout6_v1_L_tp0.022_sl0.012_h6,breakout6_v1,1,0.022,0.012,6,train,571,-0.48150000262153747,-0.0010187715346957232,0.37478108581436076,0.01975302419993141,0.02030000000000002,-0.013470212115116472,0.8790320671098429,-0.5440155943810243,0.3572679509632224,0.9065420560747663,-0.0021265525725367713,0.0,571,-0.6718826364725186,-0.0018187715346957227,0.37478108581436076,0.018953024199931414,0.01950000000000002,-0.01427021211511647,0.7961477017707153,-0.6933226482692685,0.3572679509632224,0.018691588785046728,-0.002926552572536771,0.0
breakout6_v1_L_tp0.022_sl0.012_h6,breakout6_v1,1,0.022,0.012,6,test,251,0.024304092735149885,0.00022551688010237684,0.4262948207171315,0.018535894564804208,0.02030000000000002,-0.013380110982835789,1.0293785642913025,-0.2930788216636625,0.3705179282868526,0.8691588785046729,-0.00145968386311247,0.5,251,-0.16211439347602796,-0.0005744831198976223,0.4262948207171315,0.01773589456480421,0.01950000000000002,-0.014180110982835788,0.9293830637205505,-0.3471153531272272,0.3705179282868526,0.0,-0.0022596838631124693,0.5
breakout6_v1_L_tp0.022_sl0.012_h12,breakout6_v1,1,0.022,0.012,12,train,557,-0.47894473797963744,-0.0010359508857578838,0.3734290843806104,0.020157179294834984,0.02030000000000002,-0.013666813572185726,0.8790233194025655,-0.5678124178135178,0.36804308797127466,0.9326923076923077,-0.0021494322087068905,0.0,557,-0.6665489627406418,-0.001835950885757883,0.3734290843806104,0.01935717929483499,0.01950000000000002,-0.014466813572185728,0.7974566716691401,-0.7060684804181805,0.36804308797127466,0.019230769230769232,-0.0029494322087068904,0.0
breakout6_v1_L_tp0.022_sl0.012_h12,breakout6_v1,1,0.022,0.012,12,test,239,-0.028697961307163733,1.2424710924049883e-05,0.4100418410041841,0.019441588775549436,0.020314900000000018,-0.013491533291439695,1.001561003123508,-0.29015868256001087,0.3891213389121339,0.9489795918367347,-0.0017272594948617953,0.5,239,-0.19783683006312913,-0.0007875752890759497,0.40585774058577406,0.01883648123887836,0.01951659000000002,-0.0141927406638053,0.9066024743788031,-0.34020500715609914,0.3891213389121339,0.0,-0.002527259494861796,0.5
breakout6_v1_L_tp0.022_sl0.012_h24,breakout6_v1,1,0.022,0.012,24,train,556,-0.4936418545166721,-0.0010889204676258985,0.37050359712230213,0.020315756699029148,0.02030000000000002,-0.013687101885714295,0.873616200324875,-0.5885761319994867,0.37050359712230213,0.941747572815534,-0.0022542635800359696,0.0,556,-0.6757024670414736,-0.0018889204676258977,0.37050359712230213,0.019515756699029142,0.01950000000000002,-0.014487101885714296,0.792871955385828,-0.714137141564823,0.37050359712230213,0.019417475728155338,-0.0030542635800359687,0.0
breakout6_v1_L_tp0.022_sl0.012_h24,breakout6_v1,1,0.022,0.012,24,test,237,-0.0622582129995678,-0.0001338732753336941,0.39662447257383965,0.020335489574468107,0.02033521000000002,-0.01358925864513348,0.983672848116099,-0.3151588835045581,0.39662447257383965,0.9893617021276596,-0.0019637312595281505,0.5,237,-0.22433454932810326,-0.0009338732753336938,0.39662447257383965,0.019535489574468105,0.019535210000000018,-0.014389258645133476,0.8924372649117479,-0.3629513392963981,0.39662447257383965,0.010638297872340425,-0.00276373125952815,0.5
breakout6_v1_L_tp0.022_sl0.018_h6,breakout6_v1,1,0.022,0.018,6,train,535,-0.6143820080565088,-0.0015918835084920823,0.4504672897196262,0.019479410499110353,0.02030000000000002,-0.01886461090928183,0.8464429065722339,-0.6870129901312643,0.4205607476635514,0.8879668049792531,-0.0029993337056033183,0.0,535,-0.7489048949714905,-0.002391883508492081,0.4504672897196262,0.01867941049911035,0.01950000000000002,-0.01966461090928183,0.7786593819282857,-0.7788529512806138,0.4205607476635514,0.024896265560165973,-0.0037993337056033173,0.0
breakout6_v1_L_tp0.022_sl0.018_h6,breakout6_v1,1,0.022,0.018,6,test,237,-0.30420421183459534,-0.0013529899517395188,0.45569620253164556,0.018498001423701588,0.02030000000000002,-0.017972424591643704,0.8616922434358343,-0.4460340495718199,0.39662447257383965,0.8703703703703703,-0.0033582780320713015,0.0,237,-0.4246053113667203,-0.002152989951739517,0.45569620253164556,0.01769800142370159,0.01950000000000002,-0.018772424591643695,0.7892923661597725,-0.48637507747837283,0.39662447257383965,0.0,-0.0041582780320713,0.0
breakout6_v1_L_tp0.022_sl0.018_h12,breakout6_v1,1,0.022,0.018,12,train,507,-0.6982089212753533,-0.0021665545335454567,0.4358974358974359,0.020087626762267084,0.02030000000000002,-0.019362967353036966,0.8016466051178589,-0.7431144499362704,0.4280078895463511,0.9230769230769231,-0.0036535603066675986,0.0,507,-0.7990746256871085,-0.002966554533545456,0.4358974358974359,0.01928762676226708,0.01950000000000002,-0.02016296735303696,0.7391806456078667,-0.82789511240753,0.4280078895463511,0.027149321266968326,-0.004453560306667597,0.0
breakout6_v1_L_tp0.022_sl0.018_h12,breakout6_v1,1,0.022,0.018,12,test,222,-0.314001290645869,-0.0015083841795178775,0.4594594594594595,0.01912512751632968,0.02030000000000002,-0.019046869120988297,0.853492418392631,-0.4485319471278838,0.42792792792792794,0.9313725490196079,-0.003662223018731984,0.0,222,-0.4258623243881099,-0.0023083841795178764,0.45495495495495497,0.018509168186465186,0.01950000000000002,-0.019685018799057458,0.784850738614179,-0.48433792613969806,0.42792792792792794,0.0,-0.004462223018731983,0.0
breakout6_v1_L_tp0.022_sl0.018_h24,breakout6_v1,1,0.022,0.018,24,train,498,-0.6723193861059038,-0.002039767409638558,0.44176706827309237,0.020341210363636383,0.02030000000000002,-0.019751332553956856,0.8150012499384318,-0.722600133421023,0.44176706827309237,0.9136363636363637,-0.003510617403614463,0.0,498,-0.7802464926154231,-0.002839767409638556,0.44176706827309237,0.019541210363636378,0.01950000000000002,-0.02055133255395685,0.7524702913372497,-0.8117676634132964,0.44176706827309237,0.031818181818181815,-0.004310617403614461,0.0
breakout6_v1_L_tp0.022_sl0.018_h24,breakout6_v1,1,0.022,0.018,24,test,215,-0.32388287262295645,-0.001622701732506497,0.4511627906976744,0.02016637395634219,0.02030000000000002,-0.019534060561475327,0.8486429611416173,-0.45378407144946065,0.44651162790697674,0.9690721649484536,-0.003798428366881382,0.0,215,-0.43096039826856614,-0.0024227017325064958,0.4511627906976744,0.01936637395634219,0.01950000000000002,-0.020334060561475336,0.7829137633989114,-0.4890882898913127,0.44651162790697674,0.010309278350515464,-0.004598428366881381,0.0
breakout6_v1_L_tp0.030_sl0.012_h6,breakout6_v1,1,0.03,0.012,6,train,541,0.028068024895248955,0.00023345337440657714,0.34750462107208874,0.0258751403574785,0.028300000000000027,-0.01342274252592634,1.0266551699449364,-0.36114317136856,0.3049907578558225,0.8776595744680851,-0.0010501763839579573,0.5,541,-0.3332552604437201,-0.0005665466255934224,0.3438077634011091,0.025349837776365975,0.027500000000000028,-0.014145271974225668,0.9389629877136466,-0.49050318069875587,0.3049907578558225,0.8870967741935484,-0.0018501763839579566,0.0
breakout6_v1_L_tp0.030_sl0.012_h6,breakout6_v1,1,0.03,0.012,6,test,230,0.16659643573837535,0.0008434696884322863,0.3869565217391304,0.02326717458785501,0.028300000000000027,-0.013310500070777796,1.1033674568271854,-0.27701143185265675,0.2782608695652174,0.7528089887640449,-0.001119630102524272,0.5,230,-0.029449138416676623,4.346968843228711e-05,0.3869565217391304,0.022467174587855004,0.027500000000000028,-0.014110500070777798,1.0050251941498602,-0.3236582888136543,0.2782608695652174,0.7528089887640449,-0.0019196301025242713,0.5
breakout6_v1_L_tp0.030_sl0.012_h12,breakout6_v1,1,0.03,0.012,12,train,517,0.025781692741533746,0.00024006475531685765,0.3365570599613153,0.027596657306653127,0.028300000000000027,-0.01363762359434061,1.0265329860137804,-0.38925898254656877,0.32495164410058025,0.9655172413793104,-0.0011356670900753978,0.5,517,-0.3218376153997674,-0.0005599352446831416,0.3365570599613153,0.026796657306653128,0.027500000000000028,-0.01443762359434061,0.9415427322796337,-0.4992517651177587,0.32495164410058025,0.9655172413793104,-0.0019356670900753975,0.0
breakout6_v1_L_tp0.030_sl0.012_h12,breakout6_v1,1,0.03,0.012,12,test,212,0.04681047852843778,0.00040010977152653407,0.35377358490566035,0.025773150608754958,0.028300000000000027,-0.013490241051773698,1.045895989941284,-0.27845482348309736,0.3113207547169811,0.8933333333333333,-0.001798512168473995,0.5,212,-0.11654450689194495,-0.00039989022847346543,0.3490566037735849,0.02531417940302673,0.027500000000000028,-0.014188594233770672,0.956702960914761,-0.31740365349295563,0.3113207547169811,0.9054054054054054,-0.002598512168473995,0.5
breakout6_v1_L_tp0.030_sl0.012_h24,breakout6_v1,1,0.03,0.012,24,train,514,0.053139127869563874,0.0002945253883921184,0.3326848249027237,0.028295006959064353,0.028300000000000027,-0.013664898368415324,1.032298721394625,-0.37961969537963947,0.3326848249027237,1.0,-0.001042267250972762,0.5,514,-0.302063272185233,-0.000505474611607881,0.3326848249027237,0.027495006959064358,0.027500000000000028,-0.014464898368415321,0.9476335709617815,-0.5213537791241123,0.3326848249027237,1.0,-0.0018422672509727622,0.0
breakout6_v1_L_tp0.030_sl0.012_h24,breakout6_v1,1,0.03,0.012,24,test,208,-0.029902027303895573,4.43721518965705e-05,0.3269230769230769,0.028131385350714324,0.028300000000000027,-0.01359789140181491,1.0048481296116116,-0.31474201773058486,0.32211538461538464,0.9852941176470589,-0.0021429263499032525,0.5,208,-0.1787112602232852,-0.0007556278481034294,0.3269230769230769,0.027331385350714322,0.027500000000000028,-0.014397891401814907,0.9220269790012936,-0.3507205624928996,0.32211538461538464,0.9852941176470589,-0.0029429263499032524,0.5
