name,signal,side,tp,sl,hold,split,trades,total_return,avg_trade,win_rate,avg_win,median_win,avg_loss,profit_factor,max_drawdown,target_hit_rate,winner_ge_2_pct,bootstrap_mean_5pct,positive_year_pct,stress_trades,stress_total_return,stress_avg_trade,stress_win_rate,stress_avg_win,stress_median_win,stress_avg_loss,stress_profit_factor,stress_max_drawdown,stress_target_hit_rate,stress_winner_ge_2_pct,stress_bootstrap_mean_5pct,stress_positive_year_pct,passes_strict
breakout6_v1.5_L_tp0.030_sl0.012_h24,breakout6_v1.5,1,0.03,0.012,24,test,184,-0.03249382661718103,1.0066508665688034e-05,0.32608695652173914,0.028091079064142897,0.028300000000000027,-0.01357752021172651,1.0011001567092228,-0.2461329543708597,0.32065217391304346,0.9833333333333333,-0.0023366873209616427,0.5,184,-0.1650191830790929,-0.0007899334913343115,0.32608695652173914,0.0272910790641429,0.027500000000000028,-0.014377520211726509,0.9184727715922819,-0.28336862847257904,0.32065217391304346,0.9833333333333333,-0.0031366873209616427,0.5,False
breakout18_v1_L_tp0.030_sl0.012_h6,breakout18_v1,1,0.03,0.012,6,test,199,-0.03702898474561089,-1.559317745926904e-05,0.3417085427135678,0.02523059838020391,0.028300000000000027,-0.013120486505101225,0.9981946289947252,-0.24984569568248938,0.27638190954773867,0.8382352941176471,-0.0021539066246236906,0.5,199,-0.17885320963419782,-0.0008155931774592689,0.3417085427135678,0.02443059838020391,0.027500000000000028,-0.013920486505101222,0.9109977570805513,-0.2948465788318535,0.27638190954773867,0.8382352941176471,-0.002953906624623691,0.5,False
breakout18_v1.5_L_tp0.030_sl0.012_h6,breakout18_v1.5,1,0.03,0.012,6,test,182,0.09133709708333426,0.0006586924421755006,0.35714285714285715,0.02538221375915924,0.028300000000000027,-0.013076597178371022,1.0783562171298908,-0.20877931527910776,0.29120879120879123,0.8461538461538461,-0.001622552511731695,0.5,182,-0.05654860796549921,-0.0001413075578244993,0.35714285714285715,0.024582213759159244,0.027500000000000028,-0.013876597178371027,0.9841595346618186,-0.24990231521610928,0.29120879120879123,0.8461538461538461,-0.0024225525117316945,0.5,False
pullback_rsi35_L_tp0.030_sl0.012_h24,pullback_rsi35,1,0.03,0.012,24,test,81,0.020908338842633656,0.0004424792701337693,0.345679012345679,0.026719280672841867,0.028300000000000027,-0.01343960448978749,1.0503170985370776,-0.12493658300267063,0.32098765432098764,0.9285714285714286,-0.003082115020445925,0.5,81,-0.04316912745309176,-0.00035752072986623,0.345679012345679,0.025919280672841872,0.027500000000000028,-0.014239604489787488,0.9616281753883091,-0.1389255478903758,0.32098765432098764,0.9285714285714286,-0.003882115020445925,0.5,False
squeeze6_r0.15_L_tp0.030_sl0.018_h24,squeeze6_r0.15,1,0.03,0.018,24,test,74,-0.20233611590772937,-0.002796729677030215,0.36486486486486486,0.026641826070361665,0.028240100000000025,-0.01970824042553193,0.7765725643650349,-0.25144091684087533,0.33783783783783783,0.9259259259259259,-0.007319117150003192,0.0,74,-0.2483525838116395,-0.003596729677030213,0.36486486486486486,0.02584182607036166,0.027440100000000026,-0.020508240425531933,0.7238702116935914,-0.2923980875530592,0.33783783783783783,0.9259259259259259,-0.008119117150003189,0.0,False
breakout18_v1.5_S_tp0.030_sl0.018_h24,breakout18_v1.5,-1,0.03,0.018,24,test,131,-0.1432517866151194,-0.0009151202088888891,0.3969465648854962,0.02722931745520712,0.028400000000000026,-0.019440572848547017,0.9219427417822611,-0.254317014042425,0.37404580152671757,0.9423076923076923,-0.0041518673386671985,0.5,131,-0.2286435097490881,-0.001715120208888887,0.3969465648854962,0.026429317455207116,0.027600000000000027,-0.020240572848547016,0.8594871738808036,-0.2785632438709914,0.37404580152671757,0.9423076923076923,-0.004951867338667197,0.0,False
pullback_rsi35_S_tp0.022_sl0.012_h24,pullback_rsi35,-1,0.022,0.012,24,test,127,0.02686811819170698,0.00034815874015748223,0.4094488188976378,0.02044235461538463,0.02040000000000013,-0.013583817066666679,1.0434008200424527,-0.1899109189375976,0.4094488188976378,1.0,-0.0020687222637795267,0.5,127,-0.07236787955433466,-0.0004518412598425174,0.4094488188976378,0.01964235461538464,0.01960000000000013,-0.014383817066666678,0.9468070357735737,-0.22802645342315164,0.4094488188976378,0.019230769230769232,-0.002868722263779527,0.5,False
squeeze6_r0.15_S_tp0.030_sl0.018_h6,squeeze6_r0.15,-1,0.03,0.018,6,test,83,0.05271215249244143,0.000824383322265808,0.4457831325301205,0.02182428011689842,0.028389580000000136,-0.016066838012547387,1.0925803978499693,-0.19774601567600514,0.27710843373493976,0.6756756756756757,-0.0028487793214673333,1.0,83,-0.014916825151929936,2.4383322265809114e-05,0.4457831325301205,0.02102428011689842,0.027589580000000138,-0.016866838012547375,1.0026084316746484,-0.2162926423728373,0.27710843373493976,0.6756756756756757,-0.0036487793214673337,0.5,False
squeeze6_r0.25_S_tp0.030_sl0.018_h6,squeeze6_r0.25,-1,0.03,0.018,6,test,110,0.028516053066169,0.0004674552724832156,0.44545454545454544,0.021966221098582234,0.028301300000000026,-0.01680204514520288,1.0501696146762296,-0.1687247106767844,0.2818181818181818,0.673469387755102,-0.0027249799971868593,0.5,110,-0.05815470563910352,-0.00033254472751678303,0.44545454545454544,0.021166221098582235,0.027501300000000027,-0.01760204514520288,0.965931753090881,-0.2245581398943831,0.2818181818181818,0.673469387755102,-0.0035249799971868567,0.5,False
squeeze18_r0.25_S_tp0.030_sl0.018_h6,squeeze18_r0.25,-1,0.03,0.018,6,test,69,0.24646915790890134,0.0034269881194042852,0.5072463768115942,0.023202459724088034,0.028389430000000025,-0.016930115003064277,1.4107928390189648,-0.08020645653589398,0.37681159420289856,0.7428571428571429,-0.0010188859331413962,1.0,69,0.17969548564753612,0.002626988119404286,0.5072463768115942,0.022402459724088032,0.027589430000000026,-0.01773011500306428,1.3006884385318562,-0.08606441856847813,0.37681159420289856,0.7428571428571429,-0.001818885933141395,0.5,False
